,Word Count,Sentence Count,AVG Word Length,AVG Sentence Length,Total Syllables,MONOSYLL,POLYSYLL,NTR,VTR,TTR,Root TTR,Corrected TTR,BiLog TTR,LD,FWTR,AGE
0,1177,137,5.08411214953271,8.591240875912408,2491,379,797,0.1781767955801105,0.10497237569060773,0.007596685082872928,0.2890735821752002,0.20440589021797073,0.32947451380148846,0.3819060773480663,0.016574585635359115,8-16
1,1365,132,5.021245421245421,10.340909090909092,2896,498,867,0.1910828025477707,0.13439490445859872,0.0070063694267515925,0.2776149558187878,0.19630341781826866,0.3258527483405712,0.40764331210191085,0.012101910828025478,8-16
2,1279,97,5.0367474589523065,13.185567010309278,2596,511,766,0.19261744966442954,0.1,0.00738255033557047,0.2849702680829619,0.20150440899801073,0.3281851732200055,0.4053691275167785,0.015436241610738255,8-16
3,876,75,4.965753424657534,11.68,1824,276,600,0.1951923076923077,0.10384615384615385,0.010576923076923078,0.3410955201203233,0.24119095530943305,0.3451710896241756,0.38846153846153847,0.0019230769230769232,6-12
4,975,92,5.103589743589744,10.597826086956522,2089,336,638,0.14588859416445624,0.13969938107869143,0.009725906277630416,0.32708556839752895,0.23128442344214903,0.3410530338502864,0.41644562334217505,0.002652519893899204,8-12
5,552,69,5.146739130434782,8.0,1177,188,363,0.12985074626865672,0.12985074626865672,0.016417910447761194,0.4249670751074407,0.3004971005894842,0.36849438102734783,0.3746268656716418,0.007462686567164179,6-12
6,1601,120,5.45159275452842,13.341666666666667,3610,604,996,0.175054704595186,0.14332603938730853,0.006017505470459519,0.2572791483487434,0.18192383045529617,0.31925208035070624,0.4075492341356674,0.00437636761487965,6-12
7,900,72,4.9,12.5,1844,332,563,0.1369990680335508,0.10531220876048462,0.010251630941286114,0.335809380979965,0.23745309047699006,0.34362594228797505,0.36719478098788444,0.033550792171481825,6-12
8,937,95,5.145144076840982,9.863157894736842,2018,321,615,0.17194570135746606,0.10316742081447963,0.009954751131221719,0.3309112606779028,0.23398959639633435,0.3421849224717883,0.41266968325791853,0.02171945701357466,8-12
9,973,85,5.302158273381295,11.447058823529412,2096,299,665,0.21291448516579406,0.11343804537521815,0.009598603839441536,0.32493790519706517,0.22976579622939625,0.3404151155691094,0.4031413612565445,0.017452006980802792,8-12
